iter	Passed	Remaining
0	10	2185
1	20	2020
2	30	1984
3	41	2020
4	51	2022
5	61	1995
6	71	1977
7	82	1977
8	92	1961
9	103	1960
10	113	1953
11	123	1938
12	135	1949
13	148	1977
14	158	1958
15	170	1957
16	180	1947
17	191	1938
18	202	1932
19	213	1924
20	224	1915
21	236	1912
22	246	1897
23	256	1881
24	267	1872
25	278	1866
26	290	1863
27	301	1854
28	312	1844
29	323	1833
30	334	1822
31	345	1815
32	357	1807
33	368	1798
34	379	1787
35	390	1776
36	400	1765
37	410	1751
38	422	1743
39	432	1730
40	442	1716
41	453	1705
42	464	1697
43	474	1683
44	486	1674
45	497	1664
46	507	1652
47	518	1640
48	530	1634
49	542	1627
50	551	1612
51	562	1601
52	573	1590
53	583	1577
54	593	1564
55	604	1555
56	616	1545
57	626	1534
58	636	1521
59	647	1511
60	658	1500
61	669	1489
62	678	1476
63	688	1463
64	699	1453
65	711	1443
66	722	1434
67	733	1424
68	745	1416
69	757	1406
70	768	1395
71	779	1385
72	790	1376
73	801	1365
74	812	1354
75	823	1344
76	833	1332
77	846	1324
78	859	1316
79	872	1308
80	886	1302
81	898	1293
82	910	1283
83	921	1272
84	933	1263
85	946	1254
86	959	1246
87	971	1236
88	983	1226
89	996	1217
90	1008	1207
91	1019	1196
92	1030	1186
93	1043	1176
94	1056	1167
95	1067	1156
96	1078	1144
97	1090	1134
98	1102	1124
99	1112	1112
100	1124	1101
101	1135	1091
102	1148	1082
103	1160	1071
104	1171	1059
105	1183	1049
106	1193	1037
107	1205	1026
108	1215	1014
109	1226	1003
110	1238	992
111	1249	981
112	1259	969
113	1269	957
114	1279	945
115	1289	934
116	1300	922
117	1312	911
118	1322	900
119	1333	889
120	1344	878
121	1356	867
122	1367	856
123	1378	845
124	1390	834
125	1399	822
126	1411	811
127	1423	800
128	1433	789
129	1444	778
130	1455	766
131	1465	754
132	1475	743
133	1485	731
134	1496	720
135	1506	709
136	1518	698
137	1529	687
138	1541	676
139	1553	665
140	1563	654
141	1573	642
142	1583	631
143	1593	619
144	1604	608
145	1614	597
146	1624	585
147	1635	574
148	1645	563
149	1656	552
150	1666	540
151	1677	529
152	1687	518
153	1698	507
154	1709	496
155	1719	484
156	1729	473
157	1739	462
158	1749	451
159	1759	439
160	1769	428
161	1778	417
162	1788	405
163	1798	394
164	1808	383
165	1818	372
166	1828	361
167	1838	350
168	1849	339
169	1859	328
170	1869	316
171	1879	305
172	1889	294
173	1898	283
174	1909	272
175	1920	261
176	1930	250
177	1940	239
178	1951	228
179	1960	217
180	1971	206
181	1981	195
182	1991	184
183	2001	174
184	2011	163
185	2021	152
186	2030	141
187	2040	130
188	2051	119
189	2062	108
190	2071	97
191	2081	86
192	2092	75
193	2103	65
194	2116	54
195	2128	43
196	2143	32
197	2159	21
198	2173	10
199	2187	0
